ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
)TCUDC0I_BINTG_00001_I65346	7.508305623308748	305.354919814146340	1694.645080185853700	)TCUDCCL				<EMPTY>					
)TCUDBSZ_BINTG_00001_I65346	7.508305623308748	306.055459661982240	1693.944540338017800	)TCUDBWY				<EMPTY>					
*7CTYJ8Z_BINTG_00001_I65346	6.427654699190548	-4996.660725790076000	14996.660725790076000	*7CTYJVG				<EMPTY>					
*7CTYJ8Z_BINTG_LOCOM_I65346	5.022079513973242	-15601.294893280065000	5601.294893280064600	*7CTYJXG				<EMPTY>					
*7CTYKQR_BINTG_00001_I65346	7.124106633579003	5556.927793407667200	4443.072206592332800	*7CTYNOX				<EMPTY>					
*7CTYJBR_BINTG_LOCOM_I65346	11.626659465860001	9154.460040265694300	845.539959734305740	*7CTYJYO				<EMPTY>					
*7CTYJD5_BINTG_00001_I65346	8.193498183015153	-9167.018319168913900	-832.981680831086120	*7CTYK0V				<EMPTY>					
*7CTYLMZ_BINTG_00001_I65346	7.421062811198917	2994.983994000853300	-12994.983994000853000	*7CTYO04				<EMPTY>					
*7CTYJEJ_BINTG_00001_I65346	8.102775243544938	17634.533760383056000	-7634.533760383055800	*7CTYNWG				<EMPTY>					
*7CTYLZ4_BINTG_00001_I65346	11.363647354735825	5644.105960358079800	4355.894039641920200	*7CTYO4N				<EMPTY>					
*7CTYM8W_BINTG_00001_I65346	7.231672989346656	-20121.060864321887000	14121.060864321887000	*7CTYNC8				<EMPTY>					
*7CTYJHB_BINTG_00001_I65346	7.920124157911841	-11290.228334038518000	17290.228334038518000	*7CTYN8C				<EMPTY>					
*7CTYJHB_BINTG_00001_I65346	7.003476468540122	-23065.660068522207000	13065.660068522207000	*7CTYK1O				<EMPTY>					
*7CTYM8W_BINTG_00002_I65346	7.231673270348284	-13414.038108797278000	9414.038108797278300	*7CTYNC7				<EMPTY>					
*7CTYJHB_BINTG_00002_I65346	7.920124440834014	-7526.816422208678000	11526.816422208678000	*7CTYN8B				<EMPTY>					
*7CTYJHB_BINTG_00002_I65346	8.440291842471476	-3113.350614924449500	13113.350614924449000	*7CTYK2Z				<EMPTY>					
*7CTYMMB_BINTG_00001_I65346	6.046696853315550	-5091.632461775014200	-408.367538224985760	*7CTYNFZ				<EMPTY>					
*7CTYMMB_BINTG_00001_I65346	6.895973083352530	5063.523154344489700	436.476845655510260	*7CTYNKX				<EMPTY>					
*7CTYMMB_BINTG_00003_I65346	6.046696854135919	-4165.881108827889000	-334.118891172111030	*7CTYNFY				<EMPTY>					
*7CTYMMB_BINTG_00003_I65346	6.895973083352530	4142.882577341981200	357.117422658018770	*7CTYNKW				<EMPTY>					
+#CHBEC3_BINTG_00001_I65346	12.663105164014762	58489.013201693539000	1510.986798306461400	+#CHBEOC				<EMPTY>					
+#CHBEC3_BINTG_00001_I65346		1106843.690117711700000	-106843.690117711670000	+#CHBEFB			<20050928>:SimpleEY@OD: Unable to compute IRR	<EMPTY>					
+#CHBEC3_BINTG_00003_I65346	12.663105164014762	38992.675467795809000	1007.324532204191200	+#CHBEOB				<EMPTY>					
.UCUDHYE_BINTG_00001_I65346	5.510319222683393	302.895638824772050	1697.104361175228000	.UCUDICS				<EMPTY>					
.UCUDHP6_BINTG_00001_I65346	5.510319222683393	302.915626113750930	1697.084373886249100	.UCUDHTT				<EMPTY>					
.UCUDIDC_BINTG_00001_I65346	7.553677639248341	299.060747341341080	1700.939252658658900	.UCUDIPX				<EMPTY>					
0PCTTK3Z_BINTG_00001_I65346	10.712571220035457	5867.205864872435100	132.794135127564910	0PCTTKHV				<EMPTY>					
0PCTTJXR_BINTG_00001_I65346	1521.727586098956000	-5841.334621754722300	-158.665378245277680	0PCTTKNM			<20150514>:PureEY@OD: Unable to compute IRR	<EMPTY>					
0PCTTJXR_BINTG_00001_I65346		7589.041095890411300	2410.958904109588700	0PCTTK0G			<20150514>:PureEY@OD: Unable to compute IRR	<EMPTY>					
0PCTTK3Z_BINTG_LOCOM_I65346	10.712571234341898	3911.470576297200800	88.529423702799249	0PCTTKHW				<EMPTY>					
0PCTTJXR_BINTG_LOCOM_I65346	1521.727610656427300	-3894.223072041458200	-105.776927958541820	0PCTTKNN			<20150514>:PureEY@OD: Unable to compute IRR	<EMPTY>					
4DCHFI86_BINTG_00001_I65346	6.471710218619557	2739.923283526734400	2260.076716473265600	4DCHFIUV				<EMPTY>					
4DCHFI86_BINTG_00001_I65346	8.946824236378022	118366.441734151740000	633.558265848259910	4DCHFIZX				<EMPTY>					
4DCHFI86_BINTG_00001_I65346	6.582395495570272	5462.724039351511200	4537.275960648488800	4DCHFIN7				<EMPTY>					
4DCHFI86_BINTG_00003_I65346	6.471710218619557	2739.923283526734400	2260.076716473265600	4DCHFIUW				<EMPTY>					
4DCHFI86_BINTG_00003_I65346	8.946824236378022	118366.441734151740000	633.558265848259910	4DCHFIZY				<EMPTY>					
16CSSISP_BINTG_00001_I65346	7.178430450860714	-2859.393980663790000	-7140.606019336210000	16CSSJ6I				<EMPTY>					
6$CSISFF_BINTG_00001_I65346	7.398113477097827	2569.137261751198800	7430.862738248801200	16CSSIRQ				<EMPTY>					
6$CSIX1Y_BINTG_00001_I65346	6.576762298945188	8889.300159426406000	1110.699840573594000	6$CSIXGO				<EMPTY>					
6$CSIX3C_BINTG_00001_I65346	8.950638826327630	8856.540741281583900	1143.459258718416100	6$CSIYKV				<EMPTY>					
6$CSJ1C9_BINTG_00001_I65346	6.738200530000449	8887.332139620557400	1112.667860379442600	6$CSJ1QQ				<EMPTY>					
6$CSJ27H_BINTG_00001_I65346	19.639336343029363	-9203.077633706852800	-796.922366293147210	6$CSJ2L9				<EMPTY>					
6$CSIX64_BINTG_00001_I65346	20.373903265224236	8597.123193016275800	1402.876806983724200	6$CSJ2PX				<EMPTY>					
6$CSIX7I_BINTG_00001_I65346	6.151403083011293	-5360.589845416061500	-639.410154583938490	6$CSJ1BF				<EMPTY>					
6$CSIX7I_BINTG_00003_I65346	6.151403083011293	-3573.729896944351800	-426.270103055648180	6$CSJ1BE				<EMPTY>					
6$CSJ1RD_BINTG_00001_I65346	9.104380205253621	7526.021073369309300	973.978926630690690	6$CSJ26R				<EMPTY>					
6$CSJ1RD_BINTG_00003_I65346	9.104380203082707	1328.121363013284300	171.878636986715720	6$CSJ26Q				<EMPTY>					
8-CQD5IA_BINTG_00001_I65346	5.601201286803363	-20065.543948754595000	31065.543948754595000	8-CQD5ZG				<EMPTY>					
8-CQD5JX_BINTG_00001_I65346	7.822586783857316	82292.673904469149000	-92292.673904469149000	8-CQD5ZJ				<EMPTY>					
8-CQD8CW_BINTG_00001_I65346	5.904510242489010	-16252.158734904457000	26252.158734904457000	8-CQD8WA				<EMPTY>					
8-CQD8CW_BINTG_00001_I65346	5.368105739329802	-32756.672570682917000	22756.672570682917000	8-CQD8ZT				<EMPTY>					
8-CQD5QH_BINTG_00001_I65346	5.415015755735478	-21970.186859777161000	15303.516859777161000	8-CQD9HK				<EMPTY>					
8-CQD5QH_BINTG_00001_I65346	5.951702707388776	-10967.304239798301000	17633.974239798299000	8-CQD9MG				<EMPTY>					
8-CQD5QH_BINTG_00003_I65346	5.415016163482506	-10985.089276935534000	7651.759276935534200	8-CQD9HJ				<EMPTY>					
8-CQD5QH_BINTG_00003_I65346	5.951702310219639	-5483.656222376135700	8816.986222376135600	8-CQD9MF				<EMPTY>					
84CUDT57_BINTG_00001_I65346	6.547664833069023	258.333480890039940	1741.666519109960100	84CUDTJ2				<EMPTY>					
84CUDSX0_BINTG_00001_I65346	6.547664833069023	259.932889882140440	1740.067110117859600	84CUDT1D				<EMPTY>					
8YCXTJNO_BINTG_00001_I65346	6.407659784638114	119.069083729686100	7880.930916270313900	8YCXTK0N				<EMPTY>					
OUCXWZUJ_BINTG_00001_I65346	10.908646002004811	17.968813491734110	482.031186508265880	OUCXX07N				<EMPTY>					
RXCY8J7N_BINTG_00001_I65346	9.230145721555232	122.293941831886970	49877.706058168114000	RXCY8JKS				<EMPTY>					
8YCXTJ7Z_BINTG_00001_I65346	7.178710738913116	2707.795099255366900	7292.204900744633100	8YCXTJMZ				<EMPTY>					
8YCXTJ7Z_BINTG_00001_I65346	7.174935036602191	2695.163547671138100	6304.836452328861900	8YCXTJEQ				<EMPTY>					
97CUC5M6_BINTG_00001_I65346	6.778788112942290	7087.101479789913400	2912.898520210086600	97CUC5ZF				<EMPTY>					
97CUC4XW_BINTG_00001_I65346	6.778788112942290	7087.103689322919300	2912.896310677080700	97CUC52S				<EMPTY>					
97CUC58T_BINTG_00001_I65346	6.913748125332591	-7137.203810780569300	-2862.796189219430700	97CUC5LM				<EMPTY>					
97CUC4Z1_BINTG_00001_I65346	6.913748125332591	-7137.201602828949000	-2862.798397171051000	97CUC584				<EMPTY>					
97CUC4Z1_BINTG_00001_I65346	7.752355939743433	7077.586707730502900	2922.413292269497100	97CUC65A				<EMPTY>					
98CNSV2G_BINTG_00001_I65346	8.590161082750479	1933.579142367467300	8066.420857632532700	98CNSVNN				<EMPTY>					
98CNSV43_BINTG_00001_I65346	1.369827136527200	12656.923420252206000	-2656.923420252205700	R#CY8ZLK				<EMPTY>					
98CNSV43_BINTG_00001_I65346	1.122408317505077	3820.449161108510500	-13820.449161108510000	98CNSVNQ				<EMPTY>					
98CNSV5Q_BINTG_00001_I65346	7.246477523143732	-63302.570631713344000	53302.570631713344000	98CNSXNI				<EMPTY>					
98CNSV7D_BINTG_00001_I65346	7.287292153911332	6256.700395393301700	3743.299604606698300	98CNSYAI				<EMPTY>					
98CNSV90_BINTG_00001_I65346	9.112201303197979	1946.500214251802400	8053.499785748197600	98CNSVNZ				<EMPTY>					
98CNSVAN_BINTG_00001_I65346	8.662233196937624	-3565.112117128446700	-6434.887882871553300	98CNSZBX				<EMPTY>					
98CNSVHK_BINTG_00001_I65346	4.184472578985748	-99179.378538587975000	89179.378538587975000	98CNSVO5				<EMPTY>					
98CNSVKA_BINTG_00001_I65346				98CNT09A			No lines in the facility	<EMPTY>					
98CNSVYO_BINTG_00001_I65346	9.088572618239974	618.824457160022580	9381.175542839977400	98CNT0DF				<EMPTY>					
98CNSW0B_BINTG_00001_I65346	11.368548996601788	93360.563306318538000	-103360.563306318540000	98CNT0RI				<EMPTY>					
98CNSW1Y_BINTG_00001_I65346	8.859172666249393	5034.255432722420700	4965.744567277579300	98CNSWIZ				<EMPTY>					
98CNSW3L_BINTG_00001_I65346	11.842143997059482	-148031.560569597350000	138031.560569597350000	98CNSWJ2				<EMPTY>					
98CNSW58_BINTG_00001_I65346	3.542952703581388	-80616.400886015370000	90616.400886015370000	98CNT2FM				<EMPTY>					
98CNSW6V_BINTG_00001_I65346	8.835016149912967	3342.015339003905000	6657.984660996095000	98CNSWJ8				<EMPTY>					
98CNSW8I_BINTG_00001_I65346	8.606760837688013	-2880.029150985108600	-7119.970849014891400	98CNT38C				<EMPTY>					
98CNSWA5_BINTG_00001_I65346	9.518369467460472	-2337.014398724437300	-7662.985601275562700	98CNSWJE				<EMPTY>					
9ACNSAIY_BINTG_00001_I65346	5.619509052351694	-21445.141113759877000	31445.141113759877000	9ACNSJZ4				<EMPTY>					
9ACNSAKL_BINTG_00001_I65346	0.965814329905863	-1810.866492725763200	-8189.133507274236800	9ACNSJZ8				<EMPTY>					
9ACNSAM8_BINTG_00001_I65346	6.657106360037657	8459.395948669240200	1540.604051330759800	9ACNSLIX				<EMPTY>					
9ACNSANV_BINTG_00001_I65346	10.911126097756014	-8691.880176819933700	-1308.119823180066300	9ACNSM4T				<EMPTY>					
9ACNSAPI_BINTG_00001_I65346	6.636004529682793	8578.833547056467100	1421.166452943532900	9ACNSMJQ				<EMPTY>					
9ACNSAPI_BINTG_00001_I65346	6.123166429567125	-8642.829277523978800	-1357.170722476021200	9ACNSMN0				<EMPTY>					
9ACNSAR5_BINTG_00001_I65346				9ACNSN65			No lines in the facility	<EMPTY>					
9ACNSAR5_BINTG_00001_I65346				9ACNSNAF			No lines in the facility	<EMPTY>					
9ACNSR48_BINTG_00001_I65346	5.511765253524565	-16766.209237676114000	30828.209237676114000	9ACNSUFI				<EMPTY>					
9ACNSVC9_BINTG_00001_I65346	7.279511406207183	460.235762648429950	9539.764237351570000	)BCQ80VD				<EMPTY>					
9ACNSR5V_BINTG_00001_I65346	7.167152321759011	-2934.945921050239100	-7065.054078949760900	)BCQ811F				<EMPTY>					
9ACNSR5V_BINTG_00001_I65346	7.167099108600425	-2927.071111075434600	-7072.928888924565400	9ACNSUFL				<EMPTY>					
9ACNSR7I_BINTG_00001_I65346	11.290012176442895	8508.804816362560800	1491.195183637439200	9ACNSVUE				<EMPTY>					
9ACNSR7I_BINTG_00001_I65346	11.289457967836798	8511.677756273300500	1488.322243726699500	9ACNSUFO				<EMPTY>					
9ACNSR95_BINTG_00001_I65346	13.318768238885232	-4992.480212405100200	-5007.519787594899800	9ACNSWAR				<EMPTY>					
9ACNSR95_BINTG_00001_I65346	13.619381450101093	4394.310559369847400	-3894.310559369847400	9ACNSUFR				<EMPTY>					
9ACNSRAS_BINTG_00001_I65346	7.592106688463401	8566.690823826193100	1433.309176173806900	9ACNSWVC				<EMPTY>					
9ACNSRCF_BINTG_00001_I65346	6.215283764768220	-8608.275228301137800	-1391.724771698862200	9ACNSX8Z				<EMPTY>					
=DCSU4SN_BINTG_00001_I65346				=DCSU5K8			No lines in the facility	<EMPTY>					
=DCSU4SN_BINTG_00001_I65346				=DCSU4WC			No lines in the facility	<EMPTY>					
$NCSUAL4_BINTG_00001_I65346	8.551771115549771	-2645.086737243384100	-7354.913262756615900	$NCSUAWY				<EMPTY>					
=DCSU9I7_BINTG_00001_I65346	8.776848127327247	2546.611819665953600	7453.388180334046400	$NCSUB1R				<EMPTY>					
BUCW4FC6_BINTG_00001_I65346	9.474267725563841	-401.120015036314730	10401.120015036315000	BUCW4FQG				<EMPTY>					
BUCW4F4O_BINTG_00001_I65346	9.474267725563841	-401.120013531297450	10401.120013531297000	BUCW4F64				<EMPTY>					
BUCW4FXT_BINTG_00001_I65346	3.081882349102763	1103.454346816781700	8896.545653183218700	BUCW4GD2				<EMPTY>					
BUCW4FS5_BINTG_00001_I65346	3.081882349102763	1103.452140779495000	8896.547859220505400	BUCW4FVV				<EMPTY>					
FACI3EO3_BINTG_00001_I65346	8.848400545157594	1657.426836156286300	8342.573163843713700	F!CI3JNX				<EMPTY>					
FACI3EP6_BINTG_00001_I65346	9.470284645345494	-39757.981184659453000	31757.981184659453000	FCCIRE0X				<EMPTY>					
FCCIRENH_BINTG_00001_I65346	6.366943268875384	1256.426168050393200	3743.573831949606800	6CCSDMI3				<EMPTY>					
FACI3EQ9_BINTG_00001_I65346	6.402127586929905	2097.109432292878400	7902.890567707121600	FCCIREMM				<EMPTY>					
FACI3ERW_BINTG_00001_I65346	7.171785659985297	-1380.144216978475000	-6619.855783021525000	FCCIRF4O				<EMPTY>					
FACI3ERW_BINTG_00001_I65346	7.300518540521440	1686.230120551288600	8313.769879448711400	FCCIRFA7				<EMPTY>					
FCCIRFQX_BINTG_00001_I65346	8.722010341326191	-1384.369095154925200	-6615.630904845074800	FCCIRG8S				<EMPTY>					
FCCIRFQX_BINTG_00001_I65346	8.722010341326191	-1384.369095154925200	-6615.630904845074800	FCCIRGD8				<EMPTY>					
FCCIRFQX_BINTG_00001_I65346	8.806836166070069	817.341117528379980	4182.658882471620000	66CSF6UQ				<EMPTY>					
FACI3ESZ_BINTG_00001_I65346	8.839666452252430	1644.971445406899900	8355.028554593100100	F!CI3JO9				<EMPTY>					
FACI3EU2_BINTG_00001_I65346				F!CI3JOC			No lines in the facility	<EMPTY>					
R+CYA7Z6_BINTG_00001_I65346	9.075890331187274	45.451877490952711	9954.548122509048000	R+CYA8KI				<EMPTY>					
R+CYA8L2_BINTG_00001_I65346	8.890068786550435	22.135122611522775	9977.864877388477900	R+CYA8ZZ				<EMPTY>					
GVCWFS7U_BINTG_00001_I65346	8.042415250454102	2161.199148665098600	5838.800851334901400	+6CWHFIK				<EMPTY>					
GVCWFS7U_BINTG_00001_I65346	7.987790565420369	2154.595892279783600	-12154.595892279784000	GVCWFSCJ				<EMPTY>					
GVCWFS8Z_BINTG_00001_I65346	1.340300757462521	-109.976463974913940	-1390.023536025086100	+6CWHFN3				<EMPTY>					
GVCWFS8Z_BINTG_00001_I65346	14.412837331155989	709.491608842368580	9290.508391157631200	GVCWFSCM				<EMPTY>					
K(CU9ROP_BINTG_00001_I65346				K(CU9RS4			No lines in the facility	<EMPTY>					
P7CWSOW2_BINTG_00001_I65346	3.996218043170480	-276.731637916309410	-9723.268362083690600	P7CWSP8A				<EMPTY>					
PDCWSJAT_BINTG_00001_I65346	3.996218043170480	-276.731641502177810	-9723.268358497822200	P7CWSMFQ				<EMPTY>					
PDCWSJC7_BINTG_00001_I65346	14.998387013787932	249.083091758314420	9750.916908241684700	P7CWSOI7				<EMPTY>					
PDCWSJC7_BINTG_00001_I65346	3.185903835279195	-278.797602937113820	-9721.202397062887000	PDCWSL8J				<EMPTY>					
QECWC6RO_BINTG_00001_I65346	9.416107446252823	2218.216515299691800	7781.783484700308700	QECWC7HY				<EMPTY>					
QECWC6T2_BINTG_00001_I65346	6.231179780802520	-9105.622143676504500	-894.377856323495510	QECWC7I1				<EMPTY>					
QECWC6UG_BINTG_00001_I65346	9.159602571703518	2178.882989292033000	7821.117010707967000	QECWE3T1				<EMPTY>					
QECWC6VU_BINTG_00001_I65346	19.270706206361947	-2193.178149284396600	-7806.821850715603400	QECWE47C				<EMPTY>					
QECWC6X8_BINTG_00001_I65346	0.617408777420106	-3138.036943489220000	-861.963056510780010	QECWE4LE				<EMPTY>					
QECWC6X8_BINTG_00003_I65346	0.617408777420106	-4707.055415233597200	-1292.944584766402800	QECWE4LD				<EMPTY>					
QECWC6YV_BINTG_00001_I65346	8.361146162911135	-783.271419885639260	-3616.728580114360700	QECWE54D				<EMPTY>					
QECWC6YV_BINTG_00001_I65346	9.222888349111317	2371.294954912666100	7628.705045087333900	QECWC8DL				<EMPTY>					
QECWC6YV_BINTG_00003_I65346	8.361145909365149	-640.860136733856050	-2959.139863266143900	QECWE54E				<EMPTY>					
RXCY8M6J_BINTG_00001_I65346	8.837714136045991	23.091859021484879	9976.908140978515800	R+CYA4YJ				<EMPTY>					
RXCY8M6J_BINTG_00001_I65346	8.837714136045991	23.091859021484879	9976.908140978515800	RXCY8O9B				<EMPTY>					
RXCY8M7X_BINTG_00001_I65346	8.017247929121249	-46.242197222933214	-8953.757802777066900	R+CYA525				<EMPTY>					
RXCY8M7X_BINTG_00001_I65346	7.950448359294247	-51.133342755883973	-9948.866657244116100	RXCY8O9F				<EMPTY>					
R+CYA6FP_BINTG_00001_I65346	8.978157173572722	18.138291879333565	7981.861708120666700	R+CYA6TG				<EMPTY>					
RXCY8M9B_BINTG_00001_I65346	9.042863721500655	23.347937736436734	9976.652062263563500	R+CYA56I				<EMPTY>					
RXCY8M9B_BINTG_00001_I65346	9.075245657351374	25.949649259224543	10974.050350740776000	RXCY8O9I				<EMPTY>					
R+CYA6U3_BINTG_00001_I65346	10.715441625046791	-54.830806162208319	-8945.169193837791700	R+CYA76H				<EMPTY>					
RXCY8MAP_BINTG_00001_I65346	10.715441625046791	-54.830806162208319	-8945.169193837791700	R+CYA5A4				<EMPTY>					
RXCY8MAP_BINTG_00001_I65346	10.595107243813713	-67.440705688670278	-11932.559294311330000	RXCY8O9L				<EMPTY>					
RXCY8MC3_BINTG_00001_I65346	11.569989142644612	21.986358038615435	9978.013641961384600	R+CYA5EH				<EMPTY>					
RXCY8MDQ_BINTG_00001_I65346	0.646805439174380	-37.798302488010378	-7462.201697511989600	R+CYA5JT				<EMPTY>					
RXCY8MDQ_BINTG_00001_I65346	1.517988923021472	50.206330479513852	9949.793669520486200	RXCY8O9U				<EMPTY>					
SYCT8RKO_BINTG_00001_I65346	5.941214743287492	-7820.744916312321900	-2179.255083687678100	SYCT8T8U				<EMPTY>					
SYCT8TZ1_BINTG_00001_I65346	8.299128599647679	-7827.526031277328000	-2172.473968722672000	SYCT8VP7				<EMPTY>					
SYCT8WOO_BINTG_00001_I65346	6.636169333511297	7787.202548954561300	2212.797451045438700	SYCT8X25				<EMPTY>					
SYCT8RNG_BINTG_00001_I65346	1.316940225027030	7818.229667321443200	2181.770332678556800	SYCT8VTS				<EMPTY>					
SYCT8UJ2_BINTG_00001_I65346	16.893015832147150	-9005.827197461650900	-994.172802538349060	SYCT8W0P				<EMPTY>					
SYCT8ROU_BINTG_00001_I65346	16.893015832147150	-9005.827197461650900	-994.172802538349060	SYCT8VX4				<EMPTY>					
SYCT8RQ8_BINTG_00001_I65346	6.899324747410543	6295.861941378489100	3704.138058621510900	SYCT8T7W				<EMPTY>					
SYCT8V6Z_BINTG_00001_I65346	10.911117511788850	-4120.908447061739900	-2379.091552938260100	SYCT8WNL				<EMPTY>					
SYCT8W1I_BINTG_00001_I65346	6.684594151316054	3387.468521558418600	3112.531478441581400	SYCT8WJR				<EMPTY>					
SYCT8V6Z_BINTG_00003_I65346	10.866289958736514	-2216.438134617172200	-1283.561865382827800	SYCT8WNM				<EMPTY>					
SYCT8W1I_BINTG_00003_I65346	6.720376942029571	1824.896517254486800	1675.103482745513200	SYCT8WJS				<EMPTY>					
SYCT905O_BINTG_00001_I65346				SYCT95Q0			No lines in the facility	<EMPTY>					
SYCT98CN_BINTG_00001_I65346	9.442592623750450	-41971.974976977406000	31971.974976977406000	SYCT98R8				<EMPTY>					
SYCT9072_BINTG_00001_I65346	10.129708688969895	-25764.171328585668000	35764.171328585668000	SYCT98BU				<EMPTY>					
SYCT98RV_BINTG_00001_I65346	17.839488643533777	7642.941680775285900	2357.058319224714100	SYCT995N				<EMPTY>					
SYCT996A_BINTG_00001_I65346	15.502783213821441	7675.250897655785600	2324.749102344214400	SYCT99JB				<EMPTY>					
SYCT909U_BINTG_00001_I65346	5.087139837943806	-4681.068810265585900	-1318.931189734414100	SYCT99Y3				<EMPTY>					
SYCT909U_BINTG_00003_I65346	5.087139838749409	-3120.709198838230300	-879.290801161769650	SYCT99Y2				<EMPTY>					
SYCT99YX_BINTG_00001_I65346	6.152408046727147	-4682.243840273395100	-1317.756159726604900	SYCT9ACV				<EMPTY>					
SYCT9AUQ_BINTG_00001_I65346	5.401101953339546	-16004.511740514934000	10004.511740514934000	SYCT9BBB				<EMPTY>					
SYCT99YX_BINTG_00003_I65346	6.152408047549166	-3121.495925188474300	-878.504074811525700	SYCT9ACU				<EMPTY>					
SYCT9AUQ_BINTG_00003_I65346	5.401103260541031	-10669.684742752406000	6669.684742752406200	SYCT9BBA				<EMPTY>					
SYCT96BK_BINTG_00001_I65346	6.205930112124669	-4682.316589618176300	-1317.683410381823700	SYCT972P				<EMPTY>					
SYCT95AW_BINTG_00001_I65346	6.953281228174084	6231.908730226494300	3768.091269773505700	SYCT95PL				<EMPTY>					
