ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
)TCUDC0I_BINTG_00001_I65346	7.508305623308748	6.137704176977422	1676.351208353567900	)TCUDCCL				<EMPTY>					
)TCUDBSZ_BINTG_00001_I65346	7.508305623308748	6.127762412917946	1676.316937376199300	)TCUDBWY				<EMPTY>					
*7CTYJ8Z_BINTG_00001_I65346	6.427654699190548	-56.992377374470379	15168.143289498985000	*7CTYJVG				<EMPTY>					
*7CTYJ8Z_BINTG_LOCOM_I65346	5.022079513973242	-183.473278362565910	6151.941680676303800	*7CTYJXG				<EMPTY>					
*7CTYKQR_BINTG_00001_I65346	7.124106633579003	81.533052228245651	4199.555959461402400	*7CTYNOX				<EMPTY>					
*7CTYJBR_BINTG_LOCOM_I65346	11.626659465860001	119.882838336896380	488.655866419896480	*7CTYJYO				<EMPTY>					
*7CTYJD5_BINTG_00001_I65346	8.193498183015153	-102.913703393787730	-522.800275612622500	*7CTYK0V				<EMPTY>					
*7CTYLMZ_BINTG_00001_I65346	7.421062811198917	52.765804668393685	-13152.096486400231000	*7CTYO04				<EMPTY>					
*7CTYJEJ_BINTG_00001_I65346	8.102775243544938	228.209785636019660	-8317.762055575265500	*7CTYNWG				<EMPTY>					
*7CTYLZ4_BINTG_00001_I65346	11.363647354735825	106.169890271645270	4040.057852556783500	*7CTYO4N				<EMPTY>					
*7CTYM8W_BINTG_00001_I65346	7.231672989346656	-235.530161666683850	14828.312330810353000	*7CTYNC8				<EMPTY>					
*7CTYJHB_BINTG_00001_I65346	7.920124157911841	-130.549874697811900	17682.665269478224000	*7CTYN8C				<EMPTY>					
*7CTYJHB_BINTG_00001_I65346	7.003476468540122	-270.498630559071900	13877.777325214818000	*7CTYK1O				<EMPTY>					
*7CTYM8W_BINTG_00002_I65346	7.231673270348284	-157.020078469533470	9885.538998563773900	*7CTYNC7				<EMPTY>					
*7CTYJHB_BINTG_00002_I65346	7.920124440834014	-87.033220447599888	11788.440957818180000	*7CTYN8B				<EMPTY>					
*7CTYJHB_BINTG_00002_I65346	8.440291842471476	-34.493834348861128	13217.425081932452000	*7CTYK2Z				<EMPTY>					
*7CTYMMB_BINTG_00001_I65346	6.046696853315550	-58.481226275005611	-232.495052395395760	*7CTYNFZ				<EMPTY>					
*7CTYMMB_BINTG_00001_I65346	6.895973083352530	62.169335078186123	250.522017883129590	*7CTYNKX				<EMPTY>					
*7CTYMMB_BINTG_00003_I65346	6.046696854135919	-47.848277408629656	-190.223224303685130	*7CTYNFY				<EMPTY>					
*7CTYMMB_BINTG_00003_I65346	6.895973083352530	50.865817949175835	204.972560086287560	*7CTYNKW				<EMPTY>					
